"key","value","updatedAt"
"systemName","新丝路会展运营管理平台","2026-07-18T08:48:31.455Z"
"systemEnglishName","New Silk Road Exhibition Operations Management Platform","2026-07-18T08:48:31.712Z"
"companyLegalName","深圳市新丝路会展服务有限公司","2026-07-18T08:48:31.935Z"
"companyEnglishName","New Silk Road Exhibition Service Co., Ltd.","2026-07-18T08:48:32.165Z"
"companyCreditCode","91440300MA5EHE0P4H","2026-07-18T08:48:32.378Z"
"companyRegisteredAddress","深圳市南山区沙河街道光华街社区深南大道9002号锦绣花园二期C栋6A","2026-07-18T08:48:32.594Z"
"companyContact","唐静韬","2026-07-18T08:48:32.831Z"
"companyPhone","15013884986","2026-07-18T08:48:33.055Z"
"companyBankName","中信银行深圳南山支行","2026-07-18T08:48:33.274Z"
"companyBankAccount","8110301012400257945","2026-07-18T08:48:33.484Z"
"companyBankCode","302584044173","2026-07-18T08:48:33.699Z"
"businessOwners","唐静韬
新能源业务组
公司公共客户","2026-07-18T08:48:33.918Z"
"companyTags","重点客户
广东企业
深圳企业
新能源
安防
电子","2026-07-18T08:48:34.152Z"
"contractNumberPrefix","NSR","2026-07-18T08:48:34.368Z"